icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
"a050b4","N1195L  ","United States",1614114964,1614114964,-118.4235,34.4441,1767.84,false,33.99,2.6,-8.78,null,1821.18,"1200",false,0
"4b191b","SWR180  ","Switzerland",1614114907,1614114907,72.9134,31.3351,11285.22,false,314.32,82.67,-0.65,null,11658.6,null,false,0
"c03068","ACA168  ","Canada",1614114962,1614114962,-89.7,48.3302,11887.2,false,272.36,113.37,0,null,11468.1,null,false,0
"a0470a","N117JP  ","United States",1614114964,1614114964,-111.7629,33.6777,1874.52,false,84.88,180.35,0.33,null,1920.24,"1456",false,0
"86d668","JAL774  ","Japan",1614114961,1614114963,140.5493,35.5678,1478.28,false,95.47,329.57,0.33,null,1508.76,"3112",false,0
"a9115d","N68344  ","United States",1614114964,1614114964,-113.9356,35.9108,2209.8,false,47.29,30.75,1.95,null,2225.04,"3101",false,0
"a3e2f6","N35FE   ","United States",1614114964,1614114964,-75.1735,41.0996,3497.58,false,177.8,113.9,-14.63,null,3276.6,"7412",false,0
"e48e55","TAM3144 ","Brazil",1614114964,1614114964,-43.3703,-22.5312,10675.62,false,245.39,58.11,0,null,11346.18,null,false,0
"e4952e","GLO4119 ","Brazil",1614114961,1614114964,-36.8063,-8.2071,10972.8,false,232.83,206.51,0,null,11643.36,null,false,0
"a339e0","FFT2437 ","United States",1614114963,1614114964,-82.3594,30.8704,10972.8,false,248.3,169.13,0,null,11391.9,"7544",false,0
"a7d13d","N6021W  ","United States",1614114964,1614114964,-82.7068,34.7178,579.12,false,35.48,253.14,0,null,579.12,null,false,0
"40712f","BCS4620 ","United Kingdom",1614114964,1614114964,9.0354,49.3331,6576.06,false,211.67,334.06,7.48,null,6888.48,"1252",false,0
"a72871","N560RR  ","United States",1614114803,1614114804,-96.461,30.3157,3566.16,false,178.94,93.96,-14.31,null,3649.98,null,false,0
"7c405d","MZZ     ","Australia",1614114964,1614114964,150.913,-33.8752,701.04,false,62.76,307.34,4.88,null,815.34,null,false,0
